"","item_no","sales_period","total_sold","year_round_product","in_seasonal_dominance","in_secondary_seasonal_dominance","hv_product"
"636","AS30012RD04.562",6,600,0,0,0,0
"637","AS40010RD04.500",1,200,0,0,0,0
"638","AS40010RD04.500",2,0,0,0,0,0
"639","AS40010RD04.500",3,500,0,1,0,0
"640","AS40010RD04.500",4,0,0,0,0,0
"641","AS40010RD04.500",5,0,0,0,0,0
"642","AS40010RD04.500",6,0,0,0,0,0
"643","AS40010RD04.750",1,500,0,1,0,0
"644","AS40010RD04.750",2,0,0,0,0,0
"645","AS40010RD04.750",3,0,0,0,0,0
"646","AS40010RD04.750",4,0,0,0,0,0
"647","AS40010RD04.750",5,0,0,0,0,0
"648","AS40010RD04.750",6,0,0,0,0,0
"649","AS40010RD04.875",1,0,0,0,0,0
"650","AS40010RD04.875",2,500,0,1,0,0
"651","AS40010RD04.875",3,0,0,0,0,0
"652","AS40010RD04.875",4,0,0,0,0,0
"653","AS40010RD04.875",5,0,0,0,0,0
"654","AS40010RD04.875",6,0,0,0,0,0
"655","BF000230-167",1,0,0,0,0,1
"656","BF000230-167",2,5832,0,1,0,1
"657","BF000230-167",3,3144,0,0,0,1
"658","BF000230-167",4,672,0,0,0,1
"659","BF000230-167",5,0,0,0,0,1
"660","BF000230-167",6,0,0,0,0,1
"661","BF000230-170",1,3840,0,1,0,0
"662","BF000230-170",2,768,0,0,0,0
"663","BF000230-170",3,0,0,0,0,0
"664","BF000230-170",4,0,0,0,0,0
"665","BF000230-170",5,0,0,0,0,0
"666","BF000230-170",6,0,0,0,0,0
"667","BF001053",1,0,1,0,0,0
"668","BF001053",2,108,1,0,0,0
"669","BF001053",3,134,1,0,0,0
"670","BF001053",4,0,1,0,0,0
"671","BF001053",5,270,1,0,0,0
"672","BF001053",6,130,1,0,0,0
"673","BF001574",1,0,0,0,0,0
"674","BF001574",2,1400,0,1,0,0
"675","BF001574",3,0,0,0,0,0
"676","BF001574",4,0,0,0,0,0
"677","BF001574",5,0,0,0,0,0
"678","BF001574",6,0,0,0,0,0
"679","BN5NMO552NA",1,0,0,0,0,0
"680","BN5NMO552NA",2,0,0,0,0,0
"681","BN5NMO552NA",3,0,0,0,0,0
"682","BN5NMO552NA",4,0,0,0,0,0
"683","BN5NMO552NA",5,950,0,0,1,0
"684","BN5NMO552NA",6,1300,0,1,0,0
"685","BNMO150P2NA",1,0,0,0,0,0
"686","BNMO150P2NA",2,0,0,0,0,0
"687","BNMO150P2NA",3,0,0,0,0,0
"688","BNMO150P2NA",4,0,0,0,0,0
"689","BNMO150P2NA",5,500,0,1,0,0
"690","BNMO150P2NA",6,400,0,0,1,0
"691","BNMO150P3PWE",1,0,0,0,0,0
"692","BNMO150P3PWE",2,500,0,0,0,0
"693","BNMO150P3PWE",3,960,0,1,0,0
"694","BNMO150P3PWE",4,0,0,0,0,0
"695","BNMO150P3PWE",5,0,0,0,0,0
"696","BNMO150P3PWE",6,0,0,0,0,0
"697","BNMO200P3PA",1,50,0,0,0,0
"698","BNMO200P3PA",2,450,0,0,0,0
"699","BNMO200P3PA",3,50,0,0,0,0
"700","BNMO200P3PA",4,550,0,0,0,0
"701","BNMO200P3PA",5,200,0,0,0,0
"702","BNMO200P3PA",6,200,0,0,0,0
"703","BNMO200P4PA",1,150,0,0,0,0
"704","BNMO200P4PA",2,0,0,0,0,0
"705","BNMO200P4PA",3,0,0,0,0,0
"706","BNMO200P4PA",4,50,0,0,0,0
"707","BNMO200P4PA",5,0,0,0,0,0
"708","BNMO200P4PA",6,350,0,1,0,0
"709","BNMO25P3D",1,50,1,0,0,0
"710","BNMO25P3D",2,250,1,0,0,0
"711","BNMO25P3D",3,0,1,0,0,0
"712","BNMO25P3D",4,100,1,0,0,0
"713","BNMO25P3D",5,50,1,0,0,0
"714","BNMO25P3D",6,50,1,0,0,0
"715","BPEM200P1SC",1,0,0,0,0,0
"716","BPEM200P1SC",2,0,0,0,0,0
"717","BPEM200P1SC",3,0,0,0,0,0
"718","BPEM200P1SC",4,500,0,1,0,0
"719","BPEM200P1SC",5,0,0,0,0,0
"720","BPEM200P1SC",6,0,0,0,0,0
"721","BPEM400P1P",1,900,0,1,0,0
"722","BPEM400P1P",2,50,0,0,0,0
"723","BPEM400P1P",3,250,0,0,0,0
"724","BPEM400P1P",4,50,0,0,0,0
